dataset,method,fold,experiment_seed,seed,n_train,n_validation,epochs,batch_size,learning_rate,model_training_time,device,initial_training_loss,final_training_loss,training_loss_change,train_accuracy,train_balanced_accuracy,train_macro_f1,train_weighted_f1,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,validation_weighted_f1,n_features,feature_extraction_time,classifier_training_time,extractor_train_time,extractor_train_fitness,program,train_precision,train_recall,validation_precision,validation_recall
FEI,cnn,1,44,44,112,28,50.0,64.0,0.001,5.217719200067222,cpu,2.31150484085083,0.0395637149257319,-2.2719411259250983,0.9910714285714286,0.990909090909091,0.9908902691511386,0.991052942916297,0.9285714285714286,0.9333333333333332,0.9257142857142858,0.9275510204081634,,,,,,,,,,
FEI,cnn,2,44,45,112,28,50.0,64.0,0.001,5.116110000060871,cpu,2.3076578889574324,0.0343658748481954,-2.273292014109237,1.0,1.0,1.0,1.0,0.8214285714285714,0.8333333333333333,0.8257142857142856,0.813265306122449,,,,,,,,,,
FEI,cnn,3,44,46,112,28,50.0,64.0,0.001,4.957141300197691,cpu,2.307831423623221,0.0679023643689496,-2.2399290592542718,0.9910714285714286,0.9916666666666666,0.9913043478260868,0.9910714285714286,0.8571428571428571,0.85,0.8383333333333333,0.8505952380952381,,,,,,,,,,
FEI,cnn,4,44,47,112,28,50.0,64.0,0.001,5.257216199999675,cpu,2.3082903112683977,0.0248407913105828,-2.283449519957814,1.0,1.0,1.0,1.0,0.8571428571428571,0.8666666666666666,0.8616666666666667,0.8589285714285715,,,,,,,,,,
FEI,cnn,5,44,48,112,28,50.0,64.0,0.001,5.181167999980971,cpu,2.307724135262625,0.073324407849993,-2.2343997274126326,0.9821428571428572,0.9818181818181818,0.9821428571428572,0.9824617346938777,0.9285714285714286,0.9333333333333332,0.9314285714285712,0.926530612244898,,,,,,,,,,
FEI,eoh,1,42,42,112,28,,,,,,,,,0.9553571428571428,0.9545454545454548,0.9546896292113682,0.9547844572611652,0.8928571428571429,0.8833333333333332,0.8883333333333333,0.8922619047619048,8.0,407.1785533,0.0113522999999986,406.96401860000014,0.13043,"import numpy as np

def extract_features(image: np.ndarray) -> np.ndarray:
    image = np.asarray(image, dtype=float)
    h, w = image.shape

    # 1. Local contrast in overlapping 3x3 patches (mean of local std)
    pad = np.pad(image, 1, mode='edge')
    local_std = np.zeros_like(image)
    for i in range(3):
        for j in range(3):
            patch = pad[i:i+h, j:j+w]
            local_std += (patch - image) ** 2
    local_std = np.sqrt(local_std / 9.0)
    local_contrast = np.mean(local_std)

    # 2. Row-wise intensity oscillation (mean absolute difference between adjacent row means)
    row_means = np.mean(image, axis=1)
    row_oscillation = np.mean(np.abs(np.diff(row_means)))

    # 3. Diagonal gradient energy (mean of abs of diagonal differences)
    diag1 = np.abs(np.diff(image, axis=1)[:-1, :] - np.diff(image, axis=0)[:, 1:])
    diag_energy = np.mean(diag1)

    # 4. Moment skewness (standardized third central moment)
    mean = np.mean(image)
    std = np.std(image)
    skew = np.mean((image - mean) ** 3) / (std ** 3 + 1e-10)

    # 5. Percentile range (90th - 10th percentile)
    p10, p90 = np.percentile(image, [10, 90])
    percentile_range = p90 - p10

    # 6. Binary structure density (fraction of pixels above local median in 5x5 blocks)
    from numpy.lib.stride_tricks import sliding_window_view
    if h >= 5 and w >= 5:
        windows = sliding_window_view(image, (5, 5))
        local_medians = np.median(windows, axis=(2, 3))
        # Upsample medians to original size via edge padding
        med_full = np.pad(local_medians, ((2, 2), (2, 2)), mode='edge')
        binary_density = np.mean(image > med_full)
    else:
        binary_density = 0.0

    # 7. Triangular mask intensity (upper-left triangle vs lower-right triangle)
    tri_mask = np.triu(np.ones((h, w)), k=0).astype(bool)
    upper_left = np.mean(image[tri_mask])
    lower_right = np.mean(image[~tri_mask])
    triangular_diff = upper_left - lower_right

    # 8. Column-wise gradient asymmetry (mean of absolute difference of top-bottom gradients)
    col_grad = np.abs(np.diff(image, axis=0))
    half_h = h // 2
    top_grad = col_grad[:half_h, :]
    bot_grad = col_grad[half_h:, :]
    min_len = min(top_grad.shape[0], bot_grad.shape[0])
    grad_asym = np.mean(np.abs(top_grad[:min_len] - np.flipud(bot_grad[:min_len])))

    return np.array([
        local_contrast,
        row_oscillation,
        diag_energy,
        skew,
        percentile_range,
        binary_density,
        triangular_diff,
        grad_asym
    ], dtype=float)",,,,
FEI,eoh,2,42,43,112,28,,,,,,,,,0.9732142857142856,0.9727272727272728,0.9726896292113684,0.9731773144040224,0.9285714285714286,0.9333333333333332,0.9257142857142858,0.9275510204081634,8.0,329.9503058,0.0076755000000048,329.8995069,0.08696,"import numpy as np

def extract_features(image: np.ndarray) -> np.ndarray:
    image = np.asarray(image, dtype=float)
    h, w = image.shape

    # 1. Global interquartile range (IQR) as contrast
    q75, q25 = np.percentile(image, [75, 25])
    iqr = q75 - q25

    # 2. Coefficient of variation (robust to scale) 
    std = np.std(image)
    mean = np.mean(image)
    cv = std / (mean + 1e-12)

    # 3. Radial intensity asymmetry: mean absolute difference between inner and outer rings
    y, x = np.mgrid[0:h, 0:w]
    cy, cx = h / 2.0, w / 2.0
    radius = np.sqrt((x - cx)**2 + (y - cy)**2)
    r_max = radius.max()
    inner_mask = radius < 0.3 * r_max
    outer_mask = radius > 0.7 * r_max
    inner_mean = np.mean(image[inner_mask]) if np.any(inner_mask) else 0.0
    outer_mean = np.mean(image[outer_mask]) if np.any(outer_mask) else 0.0
    radial_asym = np.abs(inner_mean - outer_mean)

    # 4. Edge density: fraction of pixels where local variation (2x2) exceeds threshold
    # Use a simple 2x2 variance proxy via horizontal and vertical differences
    dx = np.diff(image, axis=1)
    dy = np.diff(image, axis=0)
    grad_mag = np.zeros_like(image)
    grad_mag[:, :-1] += np.abs(dx)
    grad_mag[:-1, :] += np.abs(dy)
    grad_mean = np.mean(grad_mag)
    edge_density = np.mean(grad_mag > (grad_mean + std))

    # 5. Low-frequency dominance: ratio of energy in downsampled (by 2) vs original
    downsampled = image[::2, ::2]
    energy_orig = np.mean(image**2)
    energy_down = np.mean(downsampled**2)
    low_freq_ratio = energy_down / (energy_orig + 1e-12)

    # 6. Vertical periodicity: mean absolute difference between image and shifted by 1 row
    vert_diff = np.abs(np.diff(image, axis=0))
    periodicity = np.mean(vert_diff)

    # 7. Central mass concentration: fraction of total intensity within central 50% area
    centre = image[int(0.25*h):int(0.75*h), int(0.25*w):int(0.75*w)]
    total_intensity = np.sum(image)
    centre_intensity = np.sum(centre)
    mass_concentration = centre_intensity / (total_intensity + 1e-12)

    # 8. Kurtosis of intensity distribution (peakedness)
    if std > 1e-12:
        kurtosis = np.mean((image - mean)**4) / (std**4)
    else:
        kurtosis = 0.0

    return np.array([
        iqr,
        cv,
        radial_asym,
        edge_density,
        low_freq_ratio,
        periodicity,
        mass_concentration,
        kurtosis
    ], dtype=float)",,,,
FEI,eoh,3,42,44,112,28,,,,,,,,,0.9821428571428572,0.9825757575757575,0.983197961458831,0.9824229859167748,0.8928571428571429,0.9,0.8757142857142857,0.8811224489795918,8.0,331.8791632,0.0073443999999653,331.46568639999987,0.04348,"import numpy as np

def extract_features(image: np.ndarray) -> np.ndarray:
    image = np.asarray(image, dtype=float)
    h, w = image.shape
    
    # Quadrant intensity ratios (top-left vs bottom-right, top-right vs bottom-left)
    q1 = image[:h//2, :w//2].mean()
    q2 = image[:h//2, w//2:].mean()
    q3 = image[h//2:, :w//2].mean()
    q4 = image[h//2:, w//2:].mean()
    
    # Gradient magnitude histogram skewed towards low vs high frequencies
    gx = np.abs(np.diff(image, axis=1))
    gy = np.abs(np.diff(image, axis=0))
    # Pad to same shape for combined gradient
    gx_pad = np.pad(gx, ((0,0),(0,1)), mode='edge')
    gy_pad = np.pad(gy, ((0,1),(0,0)), mode='edge')
    grad_mag = np.sqrt(gx_pad**2 + gy_pad**2)
    
    # High-frequency proportion (strong edges)
    high_freq_mask = grad_mag > (np.mean(grad_mag) + np.std(grad_mag))
    high_freq_ratio = np.mean(high_freq_mask)
    
    # Directional contrast: horizontal vs vertical edge strength ratio
    horizontal_strength = np.mean(gx)
    vertical_strength = np.mean(gy)
    direction_balance = horizontal_strength / (vertical_strength + 1e-10)
    
    # Coarse-to-fine intensity variation (downsampled std vs full std)
    coarse = image[::2, ::2]
    coarse_std = np.std(coarse)
    fine_std = np.std(image)
    scale_difference = fine_std - coarse_std
    
    # Local contrast distribution (10th vs 90th percentile of local std)
    local_std = np.zeros((h//4, w//4))
    for i in range(h//4):
        for j in range(w//4):
            block = image[i*4:(i+1)*4, j*4:(j+1)*4]
            local_std[i,j] = np.std(block)
    contrast_spread = np.percentile(local_std, 90) - np.percentile(local_std, 10)
    
    # Entropy-like measure using intensity histogram
    hist, _ = np.histogram(image, bins=16, range=(image.min(), image.max()+1e-10))
    probs = hist / hist.sum()
    probs = probs[probs > 0]
    entropy = -np.sum(probs * np.log2(probs))
    
    return np.array([
        (q1 - q4) / (q1 + q4 + 1e-10),  # diagonal contrast
        (q2 - q3) / (q2 + q3 + 1e-10),  # anti-diagonal contrast
        high_freq_ratio,                  # edge density
        direction_balance,                # orientation bias
        scale_difference,                 # texture coarseness
        contrast_spread,                  # local contrast variability
        entropy,                          # intensity complexity
        np.mean(grad_mag) / (np.std(grad_mag) + 1e-10)  # edge consistency
    ], dtype=float)",,,,
FEI,eoh,4,42,45,112,28,,,,,,,,,0.9642857142857144,0.9651515151515152,0.9644268774703558,0.9642504234895538,0.8928571428571429,0.8833333333333332,0.8780952380952382,0.8884353741496598,8.0,368.5638256999996,0.0187022999998589,368.52968759999976,0.08696,"import numpy as np

def extract_features(image: np.ndarray) -> np.ndarray:
    image = np.asarray(image, dtype=float)
    h, w = image.shape

    # central region with different bounds
    centre = image[
        int(0.10 * h):int(0.90 * h),
        int(0.30 * w):int(0.70 * w)
    ]

    # gradients
    dx = np.diff(image, axis=1)
    dy = np.diff(image, axis=0)

    # symmetry: compare top-bottom instead of left-right
    half_h = h // 2
    top = image[:half_h, :]
    bottom = np.flipud(image[h - half_h:, :])

    # threshold using median and 0.5*std
    threshold = np.median(image) + 0.5 * np.std(image)

    # central moments (second order)
    cy, cx = np.meshgrid(np.arange(h), np.arange(w), indexing='ij')
    cx = cx - np.mean(cx)
    cy = cy - np.mean(cy)
    mu20 = np.mean(image * (cx ** 2)) / (w**2)
    mu02 = np.mean(image * (cy ** 2)) / (h**2)

    return np.array([
        np.mean(image),
        np.median(image),
        np.mean(centre),
        np.std(centre),
        np.mean(np.abs(dx)),
        np.mean(np.abs(dy)),
        np.mean(np.abs(top - bottom)),
        np.mean(image > threshold) + (mu20 + mu02)
    ], dtype=float)",,,,
FEI,eoh,5,42,46,112,28,,,,,,,,,0.9464285714285714,0.9462121212121212,0.9461368341803124,0.9463546288080448,0.8571428571428571,0.8666666666666666,0.862142857142857,0.852295918367347,8.0,347.7167364000002,0.0164669000000685,347.6748935999999,0.17391,"import numpy as np

def extract_features(image: np.ndarray) -> np.ndarray:
    image = np.asarray(image, dtype=float)
    h, w = image.shape

    # Downsample to a coarse grid using block means
    coarse_h, coarse_w = max(1, h // 4), max(1, w // 4)
    coarse = image[:coarse_h * 4, :coarse_w * 4].reshape(coarse_h, 4, coarse_w, 4).mean(axis=(1, 3))

    # Second-order gradients (Laplacian-like via center differences)
    d2x = np.diff(image, n=2, axis=1)
    d2y = np.diff(image, n=2, axis=0)
    laplace = np.zeros_like(image)
    if d2x.shape[1] > 0 and d2y.shape[0] > 0:
        laplace[1:-1, 1:-1] = d2y[:, 1:-1] + d2x[1:-1, :]
    else:
        laplace = np.abs(d2y).mean() * np.ones_like(image)  # fallback

    # Diagonal symmetry (upper-left vs lower-right triangular regions)
    tri1 = np.triu(image)
    tri2 = np.tril(image)
    diag_sym = np.mean(np.abs(tri1 - tri2.T))

    # Contrast via 10th-90th percentile difference in center
    p10, p90 = np.percentile(coarse, [10, 90])

    # Texture: mean absolute difference from local 3x3 mean
    pad = np.pad(image, 1, mode='edge')
    local_mean = (pad[:-2, :-2] + pad[:-2, 1:-1] + pad[:-2, 2:] +
                  pad[1:-1, :-2] + pad[1:-1, 1:-1] + pad[1:-1, 2:] +
                  pad[2:, :-2] + pad[2:, 1:-1] + pad[2:, 2:]) / 9.0
    texture = np.mean(np.abs(image - local_mean))

    # Proportion of dark pixels (below mean - std)
    dark_ratio = np.mean(image < (np.mean(image) - np.std(image)))

    return np.array([
        np.mean(coarse),
        np.median(coarse),
        p90 - p10,
        diag_sym,
        np.mean(np.abs(d2x)) if d2x.size > 0 else 0.0,
        np.mean(np.abs(d2y)) if d2y.size > 0 else 0.0,
        texture,
        dark_ratio
    ], dtype=float)",,,,
FEI,eoh,1,43,43,112,28,,,,,,,,,0.9196428571428572,0.9181818181818182,0.9149784997611086,0.9158099276499898,0.8928571428571429,0.8833333333333332,0.8700000000000001,0.8892857142857143,8.0,317.9091659000005,0.0224481000004743,317.84554690000004,0.13043,"import numpy as np

def extract_features(image: np.ndarray) -> np.ndarray:
    image = np.asarray(image, dtype=float)
    h, w = image.shape

    # Horizontal and vertical Sobel-like gradients (using central differences)
    gx = np.zeros_like(image)
    gy = np.zeros_like(image)
    gx[:, 1:-1] = (image[:, 2:] - image[:, :-2]) / 2.0
    gy[1:-1, :] = (image[2:, :] - image[:-2, :]) / 2.0
    grad_mag = np.sqrt(gx**2 + gy**2)

    # Vertical symmetry (top vs bottom)
    half_h = h // 2
    top = image[:half_h, :]
    bottom = np.flipud(image[h - half_h:, :])

    # Local contrast: difference between high and low percentile intensities
    p_low = np.percentile(image, 25)
    p_high = np.percentile(image, 75)
    local_contrast = p_high - p_low

    return np.array(
        [
            np.mean(image),
            np.std(image),
            np.mean(grad_mag),
            np.std(grad_mag),
            np.mean(np.abs(gx)),
            np.mean(np.abs(gy)),
            np.mean(np.abs(top - bottom)),
            local_contrast,
        ],
        dtype=float,
    )",,,,
FEI,eoh,2,43,44,112,28,,,,,,,,,0.9375,0.937121212121212,0.9373432197093524,0.9380738920282072,0.7142857142857143,0.7333333333333333,0.7007142857142857,0.6912414965986394,8.0,339.9270185000005,0.0068454000011115,339.84967329999927,0.04348,"import numpy as np

def extract_features(image: np.ndarray) -> np.ndarray:
    image = np.asarray(image, dtype=float)
    h, w = image.shape
    
    # Intensity moments (skewness and kurtosis via standardized moments)
    mean = np.mean(image)
    std = np.std(image)
    if std > 0:
        skew = np.mean((image - mean)**3) / (std**3)
        kurt = np.mean((image - mean)**4) / (std**4) - 3
    else:
        skew = 0.0
        kurt = 0.0
    
    # Center-to-edge contrast (difference between center and border means)
    center_region = image[int(0.3*h):int(0.7*h), int(0.3*w):int(0.7*w)]
    border_mask = np.ones((h, w), dtype=bool)
    border_mask[int(0.1*h):int(0.9*h), int(0.1*w):int(0.9*w)] = False
    border_mean = np.mean(image[border_mask]) if np.any(border_mask) else mean
    center_edge_contrast = np.mean(center_region) - border_mean
    
    # Gradient directional ratio (horizontal vs vertical activity)
    dx = np.diff(image, axis=1)
    dy = np.diff(image, axis=0)
    grad_x = np.mean(np.abs(dx))
    grad_y = np.mean(np.abs(dy))
    grad_ratio = grad_x / (grad_y + 1e-10)
    
    # Texture coarseness via local range (max-min in small blocks)
    block_h, block_w = 4, 4
    h_blocks = h // block_h
    w_blocks = w // block_w
    if h_blocks > 0 and w_blocks > 0:
        blocks = image[:h_blocks*block_h, :w_blocks*block_w].reshape(
            h_blocks, block_h, w_blocks, block_w
        )
        block_max = blocks.max(axis=(1, 3))
        block_min = blocks.min(axis=(1, 3))
        local_range = np.mean(block_max - block_min)
    else:
        local_range = np.ptp(image)
    
    # Vertical symmetry (correlation between top and bottom halves)
    half_h = h // 2
    top = image[:half_h, :]
    bottom = np.flipud(image[h-half_h:, :])
    if half_h > 0 and np.std(top) > 0 and np.std(bottom) > 0:
        vert_sym = np.mean((top - np.mean(top)) * (bottom - np.mean(bottom))) / (
            np.std(top) * np.std(bottom)
        )
    else:
        vert_sym = 0.0
    
    # High-intensity spatial dispersion (std of coordinates above threshold)
    threshold = mean + std
    bright_mask = image > threshold
    if np.any(bright_mask):
        ys, xs = np.nonzero(bright_mask)
        spatial_dispersion = np.std(xs) / w + np.std(ys) / h
    else:
        spatial_dispersion = 0.0
    
    return np.array([
        skew,
        kurt,
        center_edge_contrast,
        grad_ratio,
        local_range,
        vert_sym,
        spatial_dispersion,
        np.max(image) - np.min(image)  # overall intensity spread
    ], dtype=float)",,,,
FEI,eoh,3,43,45,112,28,,,,,,,,,0.9553571428571428,0.9545454545454548,0.9552466013518645,0.9546965628356606,0.8928571428571429,0.8833333333333332,0.8780952380952382,0.8884353741496599,8.0,322.488409399999,0.0054632000010315,322.45464080000056,0.08696,"import numpy as np

def extract_features(image: np.ndarray) -> np.ndarray:
    image = np.asarray(image, dtype=float)
    h, w = image.shape

    # 1. Row-wise mean profile variance (vertical texture)
    row_means = np.mean(image, axis=1)
    feat1 = np.std(row_means)

    # 2. Column-wise mean profile variance (horizontal texture)
    col_means = np.mean(image, axis=0)
    feat2 = np.std(col_means)

    # 3. Laplacian approximation (second derivative) mean absolute
    lap = np.zeros_like(image)
    lap[1:-1, 1:-1] = (image[2:, 1:-1] + image[:-2, 1:-1] +
                       image[1:-1, 2:] + image[1:-1, :-2] -
                       4 * image[1:-1, 1:-1])
    feat3 = np.mean(np.abs(lap))

    # 4. Quadrant energy ratio (top-left vs bottom-right)
    tl = image[:h//2, :w//2]
    br = image[h//2:, w//2:]
    feat4 = np.mean(tl**2) / (np.mean(br**2) + 1e-12)

    # 5. Quadrant energy ratio (top-right vs bottom-left)
    tr = image[:h//2, w//2:]
    bl = image[h//2:, :w//2]
    feat5 = np.mean(tr**2) / (np.mean(bl**2) + 1e-12)

    # 6. Horizontal gradient absolute skewness-like measure (asymmetry in edges)
    dx = np.diff(image, axis=1)
    abs_dx = np.abs(dx)
    mean_abs_dx = np.mean(abs_dx)
    feat6 = np.mean((abs_dx - mean_abs_dx)**3) / (mean_abs_dx**3 + 1e-12)

    # 7. Fraction of pixels above mean + 0.5*std (tail proportion)
    high_thresh = np.mean(image) + 0.5 * np.std(image)
    feat7 = np.mean(image > high_thresh)

    # 8. Coefficient of variation of row-wise standard deviations (spatial uniformity)
    row_stds = np.std(image, axis=1)
    feat8 = np.std(row_stds) / (np.mean(row_stds) + 1e-12)

    return np.array([feat1, feat2, feat3, feat4, feat5, feat6, feat7, feat8], dtype=float)",,,,
FEI,eoh,4,43,46,112,28,,,,,,,,,0.9375,0.937121212121212,0.934928916494134,0.9350194715567388,0.8214285714285714,0.8166666666666668,0.8080952380952382,0.8193877551020409,8.0,357.2263901999995,0.0039102999999158,357.0814725,0.13043,"import numpy as np

def extract_features(image: np.ndarray) -> np.ndarray:
    image = np.asarray(image, dtype=float)
    h, w = image.shape

    # 1. Normalized entropy (deterministic binning)
    bins = np.linspace(image.min(), image.max() + 1e-12, 16)
    hist, _ = np.histogram(image, bins=bins)
    probs = hist / (h * w)
    probs = probs[probs > 0]
    entropy = -np.sum(probs * np.log(probs)) / np.log(16)

    # 2. Local binary pattern uniformity (using 3x3 neighborhoods)
    padded = np.pad(image, 1, mode='edge')
    center = padded[1:-1, 1:-1]
    neighbors = np.stack([
        padded[:-2, :-2], padded[:-2, 1:-1], padded[:-2, 2:],
        padded[1:-1, 2:], padded[2:, 2:], padded[2:, 1:-1],
        padded[2:, :-2], padded[1:-1, :-2]
    ])
    lbp = (neighbors >= center).astype(np.uint8)
    # Count number of 0/1 transitions around the ring
    transitions = np.sum(np.abs(np.diff(lbp, axis=0, append=lbp[0:1])), axis=0)
    uniformity = np.mean(transitions <= 2)

    # 3. Row periodicity via autocorrelation at half-height
    row_mean = np.mean(image, axis=1)
    row_centered = row_mean - np.mean(row_mean)
    lag = max(1, h // 5)
    if h > 2 * lag:
        corr = np.corrcoef(row_centered[:-lag], row_centered[lag:])[0, 1]
    else:
        corr = 0.0
    row_period = np.nan_to_num(corr)

    # 4. Column periodicity similarly
    col_mean = np.mean(image, axis=0)
    col_centered = col_mean - np.mean(col_mean)
    if w > 2 * lag:
        corr_col = np.corrcoef(col_centered[:-lag], col_centered[lag:])[0, 1]
    else:
        corr_col = 0.0
    col_period = np.nan_to_num(corr_col)

    # 5. Asymmetry ratio: mean of upper half vs lower half
    top = np.mean(image[:h//2])
    bottom = np.mean(image[h//2:])
    asym_ud = (top - bottom) / (top + bottom + 1e-12)

    # 6. Left-right asymmetry
    left = np.mean(image[:, :w//2])
    right = np.mean(image[:, w//2:])
    asym_lr = (left - right) / (left + right + 1e-12)

    # 7. Gradient magnitude skewness (alternative computation)
    gy, gx = np.gradient(image)
    mag = np.hypot(gx, gy)
    mag_std = np.std(mag)
    if mag_std > 0:
        grad_skew = np.mean(((mag - np.mean(mag)) / mag_std) ** 3)
    else:
        grad_skew = 0.0

    # 8. High-frequency content ratio (Laplacian energy normalized)
    laplacian = np.array([[0, 1, 0], [1, -4, 1], [0, 1, 0]])
    from numpy.lib.stride_tricks import sliding_window_view
    if h >= 3 and w >= 3:
        windows = sliding_window_view(image, (3, 3))
        lap_vals = np.tensordot(windows, laplacian, axes=([2, 3], [0, 1]))
        high_freq = np.mean(lap_vals ** 2) / (np.var(image) + 1e-12)
    else:
        high_freq = 0.0

    return np.array([
        entropy,
        uniformity,
        row_period,
        col_period,
        asym_ud,
        asym_lr,
        grad_skew,
        high_freq
    ], dtype=float)",,,,
FEI,eoh,5,43,47,112,28,,,,,,,,,0.9642857142857144,0.9636363636363636,0.9614299516908212,0.9621187025534852,0.8928571428571429,0.9,0.9016666666666666,0.8946428571428572,8.0,339.3760977000002,0.0055145999995147,339.2433781999989,0.13043,"import numpy as np

def extract_features(image: np.ndarray) -> np.ndarray:
    image = np.asarray(image, dtype=float)
    h, w = image.shape
    
    # Radial intensity profile: average intensity at different distance bands from center
    y_coords, x_coords = np.mgrid[0:h, 0:w]
    cy, cx = h / 2.0, w / 2.0
    distances = np.sqrt((y_coords - cy)**2 + (x_coords - cx)**2)
    max_dist = distances.max()
    dist_bands = np.floor(distances / (max_dist / 4.0)).astype(int)
    dist_bands = np.clip(dist_bands, 0, 3)
    radial_means = [np.mean(image[dist_bands == i]) for i in range(4)]
    radial_spread = np.std(radial_means)
    
    # Local binary pattern count: proportion of pixels where right neighbor is brighter
    right_neighbor = np.pad(image, ((0,0),(0,1)), mode='edge')[:, 1:]
    lbp_right = (right_neighbor > image).astype(float)
    lbp_proportion = np.mean(lbp_right)
    
    # Third central moment (skewness-like) of intensity distribution
    mean_intensity = np.mean(image)
    diff = image - mean_intensity
    skewness = np.mean(diff**3) / (np.std(image)**3 + 1e-12)
    
    # Interquartile range
    flat = image.ravel()
    q75, q25 = np.percentile(flat, [75, 25])
    iqr = q75 - q25
    
    # Vertical edge density: count significant vertical edges
    dy = np.abs(np.diff(image, axis=0))
    edge_thresh = np.mean(dy) + np.std(dy)
    vertical_edge_density = np.mean(dy > edge_thresh)
    
    # Horizontal line pattern: mean absolute difference between rows
    row_means = np.mean(image, axis=1)
    row_diff = np.abs(np.diff(row_means))
    row_variability = np.mean(row_diff)
    
    # Moment-based asymmetry: ratio of intensity-weighted x-coordinate vs y-coordinate variance
    total_mass = np.sum(image) + 1e-12
    x_w = np.sum(image * x_coords) / total_mass
    y_w = np.sum(image * y_coords) / total_mass
    x_var = np.sum(image * (x_coords - x_w)**2) / total_mass
    y_var = np.sum(image * (y_coords - y_w)**2) / total_mass
    moment_ratio = x_var / (y_var + 1e-12)
    
    # Fourier-like low-frequency energy (using 2D convolution with averaging kernel)
    kernel = np.ones((3,3)) / 9.0
    from numpy.lib.stride_tricks import sliding_window_view
    padded = np.pad(image, 1, mode='edge')
    windows = sliding_window_view(padded, (3,3))
    local_means = np.mean(windows, axis=(2,3))
    low_freq_energy = np.mean(local_means**2) / (np.mean(image**2) + 1e-12)
    
    return np.array([
        radial_spread,
        lbp_proportion,
        skewness,
        iqr,
        vertical_edge_density,
        row_variability,
        moment_ratio,
        low_freq_energy
    ], dtype=float)",,,,
FEI,gp_modified,1,42,42,112,28,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,645.0,10.23221020004712,0.0563185999635607,9.975984811782835,100.0,"FC3(RIF_R(SobelY_R(RegionR(Image, 38, 38, 16, 45))), uLBP(Image), HOG(Gau(Image, 1)))",,,,
